ZipCode,flight_risk_score,risk_tier,pct_leave,net_migration_rate,price_spread_pct,turnover_rate,median_value,property_count,ZipCode_Latitude,ZipCode_Longitude
92865,0.7439438671858797,High,0.6781999999999999,0.35647530040053405,0.11252268602540835,0.13867802258840956,1102000.0,5401,33.829,-117.8463
92676,0.6976603743630686,High,0.6122,0.22448979591836735,0.1343680709534368,0.08032786885245902,1127500.0,610,33.7172,-117.6427
92843,0.6624765898776213,Medium,0.6522,0.30434782608695654,0.11156186612576065,0.08578532946539577,986000.0,7239,33.7645,-117.9324
92688,0.662275916506042,Medium,0.6446999999999999,0.2893081761006289,0.11151736745886655,0.14763231197771587,1094000.0,12924,33.6369,-117.6043
92617,0.6418817608245297,Medium,0.5711999999999999,0.14246575342465753,0.11550940947436729,0.5993431855500821,770500.0,1218,33.6432,-117.8379
92706,0.6304117290709089,Medium,0.6352,0.2704626334519573,0.11252354048964218,0.09338650714523097,1062000.0,6018,33.7648,-117.8806
92704,0.6254193331700205,Medium,0.6288,0.257590597453477,0.11529680365296803,0.07295983993139916,876000.0,13994,33.7213,-117.9071
92703,0.6229419366993292,Medium,0.6228,0.24552845528455283,0.11721611721611722,0.07517418408507517,819000.0,8181,33.7485,-117.9054
92840,0.5988352880782244,Medium,0.619,0.2379110251450677,0.11341772151898734,0.09795377036756348,987500.0,10556,33.7854,-117.9318
92801,0.5942835628894308,Medium,0.6014,0.2027412906910337,0.11418685121107267,0.21104013498855007,867000.0,8297,33.8423,-117.953
92679,0.5932368996804095,Medium,0.6104999999999999,0.22095959595959597,0.11333750782717596,0.1496315888909881,1597000.0,10586,33.6339,-117.5906
92804,0.588252279926625,Medium,0.6053000000000001,0.2106164383561644,0.11358811040339703,0.16971810520197617,942000.0,13764,33.819,-117.9789
92707,0.5845818664092001,Medium,0.6104999999999999,0.22105263157894736,0.11483253588516747,0.08912748879391223,836000.0,9593,33.7112,-117.8703
92867,0.5799670463685048,Medium,0.6064,0.2128454070201643,0.11384111384111384,0.12648781409408652,1221000.0,10586,33.8107,-117.8312
92805,0.5714819339949688,Medium,0.5964,0.19270137961726747,0.11288483466362599,0.19825304393859186,877000.0,11334,33.8328,-117.908
92780,0.5686434842710603,Medium,0.5982999999999999,0.196524064171123,0.11409395973154363,0.1484126984126984,1192000.0,10080,33.738,-117.8211
92604,0.567108553081879,Medium,0.6039,0.20772058823529413,0.11220196353436185,0.1349708472894182,1426000.0,8061,33.6879,-117.7893
92841,0.5634709364974199,Medium,0.6077,0.2154255319148936,0.11078431372549019,0.1192325986998573,1020000.0,6307,33.7859,-117.9783
92802,0.5576115208875332,Medium,0.599,0.19796954314720813,0.11064278187565858,0.1730498945888967,949000.0,5692,33.8062,-117.9234
92868,0.5460288878310416,Medium,0.5694,0.13884007029876977,0.11440457618304732,0.2999472851871376,961500.0,3794,33.7864,-117.8763
92866,0.540796724995819,Medium,0.5832,0.16632443531827515,0.11505922165820642,0.15534290271132375,1182000.0,3135,33.7845,-117.846
92627,0.5311101948183242,Medium,0.5729,0.14585319351763584,0.11602209944751381,0.18640604175921813,1448000.0,11255,33.6472,-117.9187
92807,0.5263271458603753,Medium,0.5791,0.15811373092926492,0.1156954487452148,0.12550043516100956,1175500.0,11490,33.8524,-117.7957
92630,0.5151729798071272,Medium,0.5839,0.16773464003015454,0.11147811725846409,0.13144074514466905,1211000.0,20184,33.6414,-117.6889
92683,0.5045598910531134,Medium,0.5757,0.15138816134101624,0.11425959780621572,0.10568565576039418,1094000.0,18063,33.754,-117.9934
90620,0.5000863125970032,Medium,0.5693,0.1386682956627978,0.11431623931623931,0.14126682775284777,936000.0,11588,33.8425,-118.0124
92808,0.5000487483053961,Medium,0.58,0.15990990990990991,0.11014263074484945,0.13720642768850433,1262000.0,6472,33.8583,-117.7423
92626,0.49817048623176113,Medium,0.5574,0.11484375,0.11360544217687076,0.2465568718096889,1470000.0,10383,33.6796,-117.9038
92833,0.4961977369344418,Medium,0.5684,0.13689320388349516,0.1127348643006263,0.16666666666666666,958000.0,12360,33.8737,-117.963
92806,0.4917226545510183,Medium,0.5611999999999999,0.12234042553191489,0.11067580803134182,0.2516312531370253,1021000.0,5977,33.8368,-117.8748
92691,0.4884399472464505,Medium,0.5703,0.1406336853807671,0.11304347826086956,0.11775872226222425,1265000.0,15277,33.6072,-117.6675
92656,0.48758060906386963,Medium,0.5754,0.15074798619102417,0.10810810810810811,0.17194301543332013,1017500.0,15162,33.579,-117.7258
90621,0.48316891158792014,Medium,0.5538000000000001,0.10767160161507403,0.1122334455667789,0.25092874029044243,891000.0,5922,33.8706,-117.9963
92821,0.479870293730576,Medium,0.5518,0.10361445783132531,0.11494252873563218,0.20157373227122596,1131000.0,10294,33.9224,-117.8932
92844,0.46841555851360955,Medium,0.5653,0.13064133016627077,0.11244769874476987,0.10047732696897374,956000.0,4190,33.7671,-117.971
92886,0.46651836124469187,Medium,0.5576,0.11517548195748888,0.11416184971098266,0.12280701754385964,1384000.0,16473,33.8899,-117.8065
92870,0.4641814836412535,Medium,0.5526,0.10510510510510511,0.11443661971830986,0.15028206092515983,1136000.0,13295,33.8782,-117.8547
92831,0.461659387372364,Medium,0.5463,0.09264305177111716,0.11313868613138686,0.21894108873974646,1096000.0,6705,33.8798,-117.8914
90623,0.461095006604884,Medium,0.5567,0.11331444759206799,0.11102299762093576,0.17419195657537626,1261000.0,4053,33.8502,-118.0399
92869,0.4570894205240358,Medium,0.5565,0.11304347826086956,0.11430855315747403,0.09569156804733728,1251000.0,10816,33.792,-117.7993
92705,0.4536637979117623,Medium,0.5513,0.1025081788440567,0.1125,0.16286297842109937,1600000.0,11261,33.7555,-117.8241
92610,0.4532657160965011,Medium,0.5599000000000001,0.11974110032362459,0.10962145110410094,0.14848630466122056,1268000.0,4162,33.6827,-117.6633
92845,0.4522527625822756,Medium,0.5533,0.10662824207492795,0.11312217194570136,0.12880475129918337,1105000.0,5388,33.7834,-118.0274
90630,0.45184499790278193,Medium,0.5418999999999999,0.08374830239927569,0.11584800741427248,0.16649080494422672,1079000.0,13268,33.8215,-118.04
92646,0.449308922379778,Medium,0.5511,0.10221531286436067,0.11343075852470424,0.13037750190017736,1437000.0,19735,33.6692,-117.9702
92832,0.446988025635294,Medium,0.5413,0.08262108262108261,0.11123470522803114,0.24671977507029053,899000.0,4268,33.8673,-117.9283
92606,0.4409480415816021,Medium,0.5426,0.08516242317822652,0.10920634920634921,0.25561041292639136,1575000.0,4456,33.6963,-117.8147
92782,0.4406003654652314,Medium,0.5429999999999999,0.0860484544695071,0.11465892597968069,0.1416568047337278,1378000.0,8450,33.7341,-117.7926
90631,0.43123370529727434,Medium,0.5346,0.06921739130434783,0.11333333333333333,0.20439357315512582,900000.0,14066,33.9314,-117.9524
92647,0.42913536763356797,Medium,0.5304,0.06089508437270726,0.11397345823575332,0.21855207247654934,1281000.0,12473,33.7209,-118.0015
92612,0.42190131523474717,Medium,0.5309,0.061865189289012,0.10866013071895425,0.29561894363313773,1224000.0,7327,33.6672,-117.8426
92653,0.42173417402690916,Medium,0.5422,0.08440366972477065,0.1124813153961136,0.12574988463313336,1338000.0,8668,33.6003,-117.7051
92701,0.41616472972425955,Medium,0.536,0.07206068268015171,0.11337579617834395,0.13908915069456657,785000.0,5687,33.7481,-117.8613
92614,0.39635969991117076,Medium,0.522,0.04397487150199886,0.10966257668711657,0.2591386710078437,1304000.0,6757,33.6834,-117.8411
90680,0.39567487393001377,Medium,0.5268,0.0535279805352798,0.11320754716981132,0.14634146341463414,795000.0,5617,33.8011,-117.9952
92648,0.3932655570972155,Medium,0.5114,0.022874701263229772,0.11543134872417983,0.21951585100801918,1646000.0,13343,33.675,-117.9994
92602,0.3925376591244245,Medium,0.5223,0.0446685878962536,0.11308677098150782,0.17445952740070386,2109000.0,7956,33.7261,-117.7757
92887,0.3840958356339486,Medium,0.5256000000000001,0.05122950819672131,0.11154598825831702,0.14868982327848873,1533000.0,6564,33.8806,-117.7416
92675,0.3821628977036979,Medium,0.5303,0.060539752005835154,0.11068702290076336,0.12068661971830986,1310000.0,11360,33.5004,-117.66
92672,0.37915450268439754,Medium,0.5065999999999999,0.01318781264211005,0.11575381140598531,0.2031033527292879,1771000.0,10827,33.4241,-117.6119
92708,0.37827159861230625,Medium,0.5257000000000001,0.05134474327628362,0.11283497884344147,0.10174129353233831,1418000.0,16080,33.7104,-117.9513
92661,0.37769457549639024,Medium,0.51,0.020080321285140562,0.11707813693051668,0.14335060449050085,3929000.0,1737,33.6025,-117.9022
